名稱,緯度,經度
季節香茶葉與咖啡烘焙屋,25.0132413,121.5132649
7-Eleven,25.0122078,121.5143209
7-Eleven,25.0120063,121.515399
7-Eleven,25.010728,121.5129621
全家便利商店,25.0086152,121.5145432
7-Eleven,25.0089592,121.5140383
雲南婆婆雲泰料理,25.0085105,121.5149504
瓦城,25.0118647,121.5151754
OK超商,25.0115488,121.5150413
華美台式自助餐,25.0113713,121.5146939
大埔鐵板燒,25.0099518,121.516369
星巴克,25.0133012,121.5152539
麥當勞 永和餐廳,25.0131749,121.5155402
家.溫度湯,25.0106279,121.5122375
路易莎咖啡,25.0115003,121.5153054
莘美台式自助餐,25.0110973,121.514895
Cama Café,25.0118659,121.5172603
小螺波 螺螄粉,25.0110282,121.514865
全家便利商店,25.0129581,121.5157651
香香廚五味炒飯炒麵專門店,25.0114583,121.516786
薩莉亞,25.012059,121.5149285
潮味決,25.0117311,121.5161276
全家便利商店,25.0120416,121.5156844
福園號,25.012865,121.5151606
111,25.0104569,121.5144668
